"","senescent_N_mg.g","green_N_mg.g","Record_number","genus","species","genus_species","MYCO_ASSO","SPCD"
"Acacia_nilotica",17.8,19.2,370,"Acacia","nilotica","Acacia_nilotica","AM",6013
"Acer_rubrum",6.87777777777778,16.3444444444444,733,"Acer","rubrum","Acer_rubrum","AM",316
"Acer_saccharum",6.6,20.525,744.5,"Acer","saccharum","Acer_saccharum","AM",318
"Anacardium_occidentale",10.9,21.8,73,"Anacardium","occidentale","Anacardium_occidentale","AM",6107
"Azadirachta_indica",13.2,30.5,410,"Azadirachta","indica","Azadirachta_indica","AM",6206
"Bauhinia_variegata",13.95,29.5,672,"Bauhinia","variegata","Bauhinia_variegata","AM",6232
"Betula_alleghaniensis",11.0666666666667,22.4,748,"Betula","alleghaniensis","Betula_alleghaniensis","ECM",371
"Betula_papyrifera",7.75,20.475,796.5,"Betula","papyrifera","Betula_papyrifera","ECM",375
"Betula_populifolia",9.75,20.65,444,"Betula","populifolia","Betula_populifolia","ECM",379
"Bixa_orellana",15,27.7,74,"Bixa","orellana","Bixa_orellana","AM",6238
"Byrsonima_crassifolia",5.7,8,996,"Byrsonima","crassifolia","Byrsonima_crassifolia","UNK",6308
"Carapa_guianensis",10.9,13.3,104,"Carapa","guianensis","Carapa_guianensis","AM",6393
"Carya_alba",8.7,14.4,663,"Carya","alba","Carya_alba","ECM",409
"Carya_glabra",7,16.6,664,"Carya","glabra","Carya_glabra","ECM",403
"Cassia_fistula",7.9,22,414,"Cassia","fistula","Cassia_fistula","AM",6415
"Castanea_dentata",7.9,19.5,751,"Castanea","dentata","Castanea_dentata","ECM",421
"Castanea_mollissima",15.4,22.9,269,"Castanea","mollissima","Castanea_mollissima","ECM",424
"Cecropia_schreberiana",9.9,22,529,"Cecropia","schreberiana","Cecropia_schreberiana","AM",6443
"Cercis_canadensis",10.7,23.325,729.5,"Cercis","canadensis","Cercis_canadensis","AM",471
"Cinnamomum_camphora",11,15.6,282,"Cinnamomum","camphora","Cinnamomum_camphora","AM",858
"Clidemia_hirta",7.5,15.6,793,"Clidemia","hirta","Clidemia_hirta","AM",6642
"Cornus_florida",8.3625,18.1125,695.5,"Cornus","florida","Cornus_florida","AM",491
"Crataegus_monogyna",10.2,16.2,555,"Crataegus","monogyna","Crataegus_monogyna","EITHER",508
"Crescentia_cujete",10.5,20,381,"Crescentia","cujete","Crescentia_cujete","AM",6761
"Dacryodes_excelsa",5.3,13,530,"Dacryodes","excelsa","Dacryodes_excelsa","AM",6867
"Dalbergia_sissoo",13.3,20.9,416,"Dalbergia","sissoo","Dalbergia_sissoo","AM",6869
"Eucalyptus_globulus",6.5,12.7,384,"Eucalyptus","globulus","Eucalyptus_globulus","EITHER",511
"Fagus_grandifolia",9.64,21.6,666,"Fagus","grandifolia","Fagus_grandifolia","ECM",531
"Faramea_occidentalis",12.5,14,493,"Faramea","occidentalis","Faramea_occidentalis","AM",7146
"Ficus_benghalensis",6.6,12.9,385,"Ficus","benghalensis","Ficus_benghalensis","AM",7149
"Ficus_carica",17.8,31.6,417,"Ficus","carica","Ficus_carica","AM",7151
"Ficus_religiosa",8.6,14.8,418,"Ficus","religiosa","Ficus_religiosa","AM",7166
"Fraxinus_americana",10.6,20.6,712.5,"Fraxinus","americana","Fraxinus_americana","AM",541
"Guarea_guidonia",12.3,29.6,531,"Guarea","guidonia","Guarea_guidonia","AM",7290
"Hamelia_patens",16.6,33.4,387,"Hamelia","patens","Hamelia_patens","UNK",7330
"Lagerstroemia_speciosa",11.4,20.3,423,"Lagerstroemia","speciosa","Lagerstroemia_speciosa","AM",7533
"Laguncularia_racemosa",6.5,10,762,"Laguncularia","racemosa","Laguncularia_racemosa","AM",988
"Larix_laricina",6.76,16.24,960,"Larix","laricina","Larix_laricina","ECM",71
"Liquidambar_styraciflua",4.76,11.94,739,"Liquidambar","styraciflua","Liquidambar_styraciflua","AM",611
"Liriodendron_tulipifera",7.96666666666667,20.9666666666667,764,"Liriodendron","tulipifera","Liriodendron_tulipifera","AM",621
"Magnolia_grandiflora",4.9,13.4,392,"Magnolia","grandiflora","Magnolia_grandiflora","AM",652
"Manilkara_bidentata",4.8,9.3,532,"Manilkara","bidentata","Manilkara_bidentata","UNK",7662
"Nyssa_sylvatica",5.05,16.15,833,"Nyssa","sylvatica","Nyssa_sylvatica","AM",693
"Oxydendrum_arboreum",8.3,18.5,828,"Oxydendrum","arboreum","Oxydendrum_arboreum","ERM",711
"Picea_abies",4.2,8.5,580,"Picea","abies","Picea_abies","ECM",91
"Picea_glauca",6.15,13.95,140.5,"Picea","glauca","Picea_glauca","ECM",94
"Picea_mariana",6.3,11.3,141.5,"Picea","mariana","Picea_mariana","ECM",95
"Pinus_contorta",3.9,10.5,581.5,"Pinus","contorta","Pinus_contorta","ECM",108
"Pinus_echinata",5.1,13,981,"Pinus","echinata","Pinus_echinata","ECM",110
"Pinus_massoniana",5.4,11.3,193,"Pinus","massoniana","Pinus_massoniana","ECM",8184
