"","senescent_N_mg.g","green_N_mg.g","Record_number","genus","species","genus_species","MYCO_ASSO","SPCD"
"Betula_alleghaniensis",11.0666666666667,22.4,748,"Betula","alleghaniensis","Betula_alleghaniensis","ECM",371
"Betula_papyrifera",7.75,20.475,796.5,"Betula","papyrifera","Betula_papyrifera","ECM",375
"Betula_populifolia",9.75,20.65,444,"Betula","populifolia","Betula_populifolia","ECM",379
"Carya_alba",8.7,14.4,663,"Carya","alba","Carya_alba","ECM",409
"Carya_glabra",7,16.6,664,"Carya","glabra","Carya_glabra","ECM",403
"Castanea_dentata",7.9,19.5,751,"Castanea","dentata","Castanea_dentata","ECM",421
"Castanea_mollissima",15.4,22.9,269,"Castanea","mollissima","Castanea_mollissima","ECM",424
"Fagus_grandifolia",9.64,21.6,666,"Fagus","grandifolia","Fagus_grandifolia","ECM",531
"Larix_laricina",6.76,16.24,960,"Larix","laricina","Larix_laricina","ECM",71
"Picea_abies",4.2,8.5,580,"Picea","abies","Picea_abies","ECM",91
"Picea_glauca",6.15,13.95,140.5,"Picea","glauca","Picea_glauca","ECM",94
"Picea_mariana",6.3,11.3,141.5,"Picea","mariana","Picea_mariana","ECM",95
"Pinus_contorta",3.9,10.5,581.5,"Pinus","contorta","Pinus_contorta","ECM",108
"Pinus_echinata",5.1,13,981,"Pinus","echinata","Pinus_echinata","ECM",110
"Pinus_massoniana",5.4,11.3,193,"Pinus","massoniana","Pinus_massoniana","ECM",8184
"Pinus_rigida",3.4,12,968,"Pinus","rigida","Pinus_rigida","ECM",126
"Pinus_strobus",5,12.2,152,"Pinus","strobus","Pinus_strobus","ECM",129
"Pinus_sylvestris",4.47272727272727,9.99545454545455,345.5,"Pinus","sylvestris","Pinus_sylvestris","ECM",130
"Pinus_taeda",5.2,9.7,737.5,"Pinus","taeda","Pinus_taeda","ECM",131
"Pseudotsuga_menziesii",10.4,18.725,368.5,"Pseudotsuga","menziesii","Pseudotsuga_menziesii","ECM",202
"Quercus_alba",8.9,18.9,670,"Quercus","alba","Quercus_alba","ECM",802
"Quercus_coccinea",4.5,10.5,967,"Quercus","coccinea","Quercus_coccinea","ECM",806
"Quercus_ellipsoidalis",9.9,25.3,777,"Quercus","ellipsoidalis","Quercus_ellipsoidalis","ECM",809
"Quercus_ilicifolia",6.2,17.8,655,"Quercus","ilicifolia","Quercus_ilicifolia","ECM",816
"Quercus_prinus",7.73333333333333,22.3666666666667,647,"Quercus","prinus","Quercus_prinus","ECM",832
"Quercus_rubra",10.95,20.475,778.5,"Quercus","rubra","Quercus_rubra","ECM",833
"Salix_alba",23.8,34.4,940,"Salix","alba","Salix_alba","ECM",927
"Tsuga_canadensis",8,13,781,"Tsuga","canadensis","Tsuga_canadensis","ECM",261
